h,coef,se,t,pvalor,ci_low_90,ci_high_90,ci_low_95,ci_high_95
0,0.40740505738365157,0.27569096829245127,1.4777598987264566,0.1394720554367095,-0.04610658545743079,0.860916700224734,-0.13294924046955287,0.947759355236856
1,1.4589234124920578,0.45872924737137954,3.180358394089788,0.0014709300944058816,0.7043138005661385,2.213533024417977,0.559814087644154,2.3580327373399617
2,1.7612155426332574,0.6054360392712278,2.909003475830838,0.0036258282875837352,0.7652732580320877,2.757157827234427,0.574560905661651,2.947870179604864
3,1.7946657681602476,0.6761785106336229,2.654130144536137,0.007951315308558774,0.682352118167938,2.9069794181525572,0.46935588731834677,3.119975649002148
4,1.4553092845816054,0.7657682386570247,1.900456575652539,0.05737322844855889,0.19562053199079976,2.714998037172411,-0.04559646318616295,2.9562150323493737
5,1.5853483876642933,0.7813075101564518,2.0290965683240874,0.0424484553775976,0.30009753345693,2.8705992418716564,0.05398566775764779,3.116711107570939
6,2.262920128998867,0.8199029462495175,2.759985360889534,0.0057803951661311685,0.9141797824184106,3.611660475579323,0.6559103543498126,3.8699299036479213
7,2.3277283454829,0.9387219691054228,2.47967813909923,0.01315010249207848,0.7835307063044796,3.8719259846613205,0.4878332860362713,4.167623404929529
8,2.297675019901462,1.0014549143793445,2.29433695607301,0.021771151365972782,0.6502816857474405,3.9450683540554836,0.33482338771794695,4.260526652084978
9,2.574115764337485,1.110818131707902,2.317315220971175,0.020486566759465225,0.746819937677986,4.401411590996983,0.3969122261899969,4.751319302484973
10,2.486475616240763,1.0169912120200895,2.4449332372319903,0.014487895820864637,0.8135250724677157,4.15942616001381,0.49317284068138756,4.479778391800139
11,1.4587364223367267,0.9590139590764735,1.5210794467908308,0.12823990155717863,-0.11884154034407213,3.0363143850175254,-0.4209309374531611,3.3384037821266146
12,1.2458874671246465,1.0008834168689613,1.244787800583334,0.2132097616152735,-0.40056575362479485,2.892340687874088,-0.7158440299385176,3.2076189641878106
